epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.4776,1.04425,2.14236,1.08722,0.84758,0.68667,0.76717,0.56097,0.87126,1.01925,1.09012,0.000330383,0.000330383,0.000330383
2,150.412,0.92102,0.99776,1.0401,0.89028,0.7119,0.80186,0.5846,0.87557,0.98845,1.05999,0.00064729,0.00064729,0.00064729
3,225.399,0.92307,0.94698,1.06028,0.8041,0.69173,0.77663,0.57921,0.86354,1.10328,1.07403,0.000947696,0.000947696,0.000947696
4,298.284,0.89607,0.86441,1.04068,0.88151,0.74776,0.82866,0.62072,0.81364,0.80062,1.03321,0.00092575,0.00092575,0.00092575
5,372.168,0.87708,0.8211,1.03037,0.87031,0.79149,0.83922,0.64725,0.76926,0.66566,0.97544,0.000901,0.000901,0.000901
6,445.612,0.82349,0.74496,1.00568,0.90341,0.83682,0.86953,0.67484,0.72038,0.6361,0.96126,0.00087625,0.00087625,0.00087625
7,519.925,0.78091,0.70439,0.98344,0.86523,0.85234,0.86857,0.68732,0.70057,0.56897,0.92976,0.0008515,0.0008515,0.0008515
8,596.065,0.77496,0.67258,0.98542,0.92438,0.80639,0.86259,0.69445,0.67856,0.57377,0.92765,0.00082675,0.00082675,0.00082675
9,671.336,0.74509,0.6487,0.97366,0.88808,0.83855,0.88627,0.7228,0.64022,0.51934,0.92741,0.000802,0.000802,0.000802
10,746.518,0.72289,0.61169,0.96096,0.92535,0.8492,0.90542,0.7285,0.66269,0.47955,0.9423,0.00077725,0.00077725,0.00077725
11,820.418,0.70844,0.6023,0.95995,0.90374,0.86002,0.89431,0.7247,0.65093,0.50806,0.92819,0.0007525,0.0007525,0.0007525
12,897.613,0.69445,0.59926,0.94971,0.91855,0.85026,0.90391,0.74709,0.60085,0.47462,0.90562,0.00072775,0.00072775,0.00072775
13,974.452,0.67916,0.57841,0.94791,0.92187,0.85465,0.8965,0.73778,0.61278,0.46878,0.89738,0.000703,0.000703,0.000703
14,1051.18,0.66757,0.54929,0.94287,0.93339,0.86833,0.90145,0.74789,0.58838,0.4482,0.88493,0.00067825,0.00067825,0.00067825
15,1127.34,0.65376,0.53438,0.93483,0.93733,0.86565,0.91222,0.74681,0.60381,0.46229,0.887,0.0006535,0.0006535,0.0006535
16,1202.58,0.6465,0.52295,0.93941,0.92493,0.88763,0.91189,0.75394,0.58348,0.44042,0.89104,0.00062875,0.00062875,0.00062875
17,1280.14,0.63113,0.50347,0.92594,0.94688,0.85235,0.91173,0.75447,0.58479,0.45368,0.88271,0.000604,0.000604,0.000604
18,1355.78,0.62862,0.50467,0.92833,0.94216,0.88055,0.92917,0.77649,0.54069,0.41568,0.87706,0.00057925,0.00057925,0.00057925
19,1432.47,0.62055,0.49967,0.9268,0.95439,0.872,0.92509,0.77275,0.54249,0.41392,0.8802,0.0005545,0.0005545,0.0005545
20,1508.57,0.6059,0.48758,0.92135,0.95446,0.88303,0.92553,0.78298,0.51942,0.3963,0.85974,0.00052975,0.00052975,0.00052975
21,1584.5,0.60289,0.48086,0.9153,0.94603,0.88196,0.92342,0.78202,0.50738,0.41339,0.87044,0.000505,0.000505,0.000505
22,1660.62,0.5884,0.46651,0.91694,0.94038,0.87082,0.92408,0.79206,0.49109,0.37475,0.84345,0.00048025,0.00048025,0.00048025
23,1737.81,0.56626,0.43832,0.89834,0.9711,0.88619,0.92498,0.791,0.48672,0.3648,0.84905,0.0004555,0.0004555,0.0004555
24,1812.91,0.57773,0.45356,0.91183,0.96857,0.86756,0.92418,0.80245,0.4855,0.37095,0.84944,0.00043075,0.00043075,0.00043075
25,1887.6,0.55279,0.43438,0.89506,0.928,0.90072,0.92924,0.79489,0.47857,0.3936,0.84401,0.000406,0.000406,0.000406
26,1962.78,0.54802,0.41549,0.90029,0.96906,0.87943,0.9231,0.81146,0.46654,0.34103,0.85488,0.00038125,0.00038125,0.00038125
27,2038.61,0.54211,0.40876,0.89735,0.96991,0.88365,0.93762,0.81359,0.47707,0.33662,0.85462,0.0003565,0.0003565,0.0003565
28,2114.71,0.53901,0.40432,0.89876,0.96959,0.89232,0.9382,0.81628,0.46174,0.33624,0.84061,0.00033175,0.00033175,0.00033175
29,2191.36,0.53191,0.3978,0.89033,0.93933,0.89772,0.93413,0.81571,0.44514,0.33559,0.83604,0.000307,0.000307,0.000307
30,2269.3,0.51679,0.37903,0.88337,0.95384,0.91038,0.9434,0.82316,0.42474,0.31642,0.83068,0.00028225,0.00028225,0.00028225
31,2347.8,0.5028,0.34367,0.87398,0.95282,0.89528,0.93409,0.81669,0.47065,0.33936,0.84556,0.0002575,0.0002575,0.0002575
32,2422.61,0.48659,0.32861,0.86222,0.95094,0.90938,0.93141,0.81153,0.45825,0.34733,0.82844,0.00023275,0.00023275,0.00023275
33,2498.04,0.48755,0.32682,0.86524,0.95394,0.88939,0.93115,0.81568,0.43903,0.343,0.83622,0.000208,0.000208,0.000208
34,2571.52,0.47194,0.31449,0.85953,0.92806,0.89849,0.93123,0.82228,0.44196,0.32532,0.83208,0.00018325,0.00018325,0.00018325
35,2645.66,0.46019,0.30613,0.84978,0.96439,0.90456,0.94182,0.82922,0.42965,0.30679,0.83386,0.0001585,0.0001585,0.0001585
36,2721.08,0.44677,0.30702,0.85273,0.96378,0.90844,0.94907,0.84026,0.41496,0.30376,0.8246,0.00013375,0.00013375,0.00013375
37,2794.57,0.43861,0.2938,0.85173,0.94811,0.91457,0.94743,0.83678,0.41713,0.30049,0.82561,0.000109,0.000109,0.000109
38,2869,0.4372,0.29289,0.84686,0.96417,0.90434,0.946,0.83296,0.40477,0.30877,0.81619,8.425e-05,8.425e-05,8.425e-05
39,2943.93,0.42082,0.27963,0.8475,0.96906,0.90193,0.94392,0.84323,0.40456,0.30062,0.81864,5.95e-05,5.95e-05,5.95e-05
40,3019.05,0.40924,0.27278,0.8381,0.96409,0.90784,0.94376,0.83875,0.39207,0.29627,0.81527,3.475e-05,3.475e-05,3.475e-05
